"fileName","language","participant","itemType","itemNum","focus","annotationNum","annotationNumTarget","word","syllText","syllTextPre","syllTextPost","percProm","duration","duration_noSilence","ampl_median","ampl_noSilence_median","env_slope","pitch_median_norm","pitch_sd_norm","f0_slope_norm","specCentroid_median","entropy_median","HNR_median","amEnvDep_median","fmDep_median","durationPre","duration_noSilencePre","ampl_medianPre","ampl_noSilence_medianPre","env_slopePre","pitch_median_normPre","pitch_sd_normPre","f0_slope_normPre","specCentroid_medianPre","entropy_medianPre","HNR_medianPre","amEnvDep_medianPre","fmDep_medianPre","durationPost","duration_noSilencePost","ampl_medianPost","ampl_noSilence_medianPost","env_slopePost","pitch_median_normPost","pitch_sd_normPost","f0_slope_normPost","specCentroid_medianPost","entropy_medianPost","HNR_medianPost","amEnvDep_medianPost","fmDep_medianPost"
"G30_T_05_R_4_N_kɛʁ_1","German",30,"target",5,"corrective",4,5,"N","kɛʁ","postpre","post","1",0.269,0.265,0.0119122985520626,0.0119122985520626,4.11485756354427e-05,-1.07426585123457,0.319565035302262,-0.436389005801332,246.316316479205,0.371438372654054,10.591585089496,0.367713581754974,0.94717604296072,0.168,0.165,0.0187881588416703,0.0187881588416703,-0.00018188296837161,-0.261214565540564,1.01892125790993,-2.0087467190298,287.621434093738,0.423179063029044,6.67402121012489,1,0.308635274917556,0.194,0.185,0.0121010879523749,0.0121010879523749,-4.41147613261616e-06,-0.729779460806896,-0.801185314134131,0.694702825295972,278.046891006413,0.563226234432886,4.3865380028365,1,0.138942386242661
"G30_T_06_F_3_Adj_li_2","German",30,"target",6,"filler",3,4,"A","li","pre","post","2",0.266,0.215,0.0120203880532349,0.0127567749360805,8.71724130422228e-05,0.360085284569124,1.28319480156881,1.76439554007754,286.862094452402,0.322851826319398,12.1729470604034,0.198661067722696,0.87178765669141,0.422,0.415,0.00707010407471925,0.00709808715929965,-2.38334809943598e-05,-0.233686792032292,-0.54097667254015,-0.432622481274827,295.808856687921,0.419538698261814,11.0975736715507,0.299360816071646,0.139863973768205,0.194,0.185,0.0219282686936701,0.0219282686936701,-8.43201684114466e-05,0.338014849432087,-0.176471534886529,-0.276711291388767,325.767451071283,0.295511485287969,11.1324316102227,1,0.0901672373027491
"G30_T_06_F_8_N_diʁ_2","German",30,"target",6,"filler",8,9,"N","diʁ","pre","post","2",0.204,0.195,0.0165789075534048,0.0165789075534048,7.03882827946553e-05,-0.0473748535106105,-0.661166661738187,-0.329617023899921,304.710485764021,0.298583470972345,12.6700842857762,1,0.147563844473123,0.302,0.285,0.0097499958098486,0.00977935419033805,-8.36116092361661e-06,-0.620527021278673,-0.912343800783772,-0.088781878360409,268.802170356534,0.407515775985864,8.1625478230878,0.402098558707518,0.1931027968457,0.193,0.185,0.0220135670189282,0.0220135670189282,7.35705876498903e-05,-1.10242384564817,-0.399996880132563,-0.703551436477941,262.03442985874,0.360489458872899,9.92240113360191,1,0.360506244735426
"G30_T_07_I_2_Adj_li_2","German",30,"target",7,"information",2,3,"A","li","pre","post","2",0.217,0.215,0.0175993328663255,0.0175993328663255,5.75438417479635e-07,0.619512665972944,1.03776231350338,1.45997834807228,297.172513305185,0.280713898390295,12.4385212967976,0.255425118402154,0.768435723523716,0.127,0.125,0.0158388949992612,0.0158388949992612,5.88530462051303e-05,0.0870936729905453,0.257023171722819,-0.602569104038699,296.831209502715,0.372941522740159,12.1859193754304,1,0.392355124351432,0.183,0.175,0.0337256157258424,0.0337256157258424,-9.14035769296194e-06,1.11948019719867,-0.211318039530836,-0.155785350128985,343.098580545936,0.269351949348455,11.3821952127688,1,0.0765150149284949
"G30_T_07_I_5_N_ʁo_2","German",30,"target",7,"information",5,6,"N","ʁo","pre","post","2",0.256,0.255,0.0211005182872593,0.0211005182872593,0.00011065148169331,-0.113219638691605,-0.397257505331497,-0.311246126937431,322.17943744287,0.300807105331101,16.1832845122704,0.235010736854541,0.325663105668475,0.074,0.065,0.0181847367046539,0.0181847367046539,-0.00013754673904949,0.479997713596882,-0.769851882846569,-1.61584768087847,271.143303251438,0.352955989966422,9.75782495510304,1,0.0892378809052343,0.189,0.185,0.0143647760344743,0.0143647760344743,-7.0649054549542e-05,-0.312569264839024,-0.55045919835909,-0.691916609500031,289.425052015606,0.331594599012408,11.1576485339667,1,0.418423384571284
"G30_T_08_C_3_Adj_gɛl_2","German",30,"target",8,"contrastive",3,4,"A","gɛl","pre","postpre","2",0.358,0.345,0.020149523394386,0.0202505520121907,1.30376086920931e-05,-0.0298646945814858,-0.628981267304049,0.383135891401124,320.781812311817,0.30174598724974,15.0537297962333,0.208058782816044,0.0640650832543912,0.47,0.455,0.00933880061428803,0.0095370433041351,3.41090504378839e-07,0.385610782325925,-0.474174649381627,0.316089062407859,317.408634823856,0.269074110349602,12.99907267188,0.232308489666959,0.1129555788116,0.277,0.235,0.00825139048769228,0.0107061835701122,-5.5777282889167e-05,0.10725906314366,-0.932145634304959,0.296465268052093,325.427227794449,0.325609584098537,11.0697073728772,0.337454251324444,0.0602586078997939
"G30_T_08_C_5_N_bʁɪl_2","German",30,"target",8,"contrastive",5,6,"N","bʁɪl","postpre","post","2",0.263,0.255,0.00861459312474347,0.00861459312474347,8.15236975637282e-05,-0.566798581459799,-0.703568816282121,-0.626318413253601,335.474404343283,0.374367963697091,11.4159229159781,0.218999489364245,0.114757583191201,0.277,0.235,0.00825139048769228,0.0107061835701122,-5.5777282889167e-05,0.10725906314366,-0.932145634304959,0.296465268052093,325.427227794449,0.325609584098537,11.0697073728772,0.337454251324444,0.0602586078997939,0.253,0.235,0.0147051809258169,0.015125103520029,-8.66380265768505e-05,-1.11196237308702,-0.801185314134131,-0.0995769530993736,246.317343617961,0.40402456184272,9.88263836114928,0.327499028376648,0.104063434746664
"G30_T_09_R_3_Adj_gɛl_2","German",30,"target",9,"corrective",3,4,"A","gɛl","pre","postpre","2",0.334,0.305,0.0197215270416315,0.0209711171184813,4.51670861777245e-05,0.0184633738419442,-0.749037481336911,0.105911365081504,335.3913488663,0.270184388785047,13.0664813662009,0.167387848187178,0.14213832571507,0.302,0.275,0.00590068528906796,0.00731126908527463,-8.35981936715533e-06,-0.377274493598405,-0.148162175183902,0.564668338265095,282.463382557189,0.366555383465829,9.54505348644505,0.412548219937623,0.277291453493284,0.193,0.165,0.00815534559249247,0.0103101294088323,-6.03536743014193e-05,-0.963359758994669,-0.458911980415921,-2.35103793809673,258.051612022695,0.412329500904786,8.24678760151984,1,0.0892378809052343
"G30_T_09_R_5_N_bʁɪl_1","German",30,"target",9,"corrective",5,6,"N","bʁɪl","postpre","post","1",0.193,0.185,0.00646567690222677,0.00646567690222677,0.00010372021203386,-1.14348263280323,-0.837099287502145,-0.726250934858914,299.620342609638,0.484003353765214,11.0849957546915,0.97281359075301,0.140262562266896,0.193,0.165,0.00815534559249247,0.0103101294088323,-6.03536743014193e-05,-0.963359758994669,-0.458911980415921,-2.35103793809673,258.051612022695,0.412329500904786,8.24678760151984,1,0.0892378809052343,0.109,0.105,0.0136152935162959,0.0136152935162959,-7.73079434312651e-05,-1.39389382238486,-0.881878574387052,0.307455998862211,223.166329872875,0.408316941794884,12.1654017982697,1,0.0555403618720416
"G30_T_10_F_2_Adj_li_2","German",30,"target",10,"filler",2,3,"A","li","pre","post","2",0.179,0.175,0.0166561033878195,0.0166561033878195,3.68001519031173e-05,0.154782174597664,-0.384576970361338,0.96136908434781,289.778972419373,0.319250265415569,12.9669464362188,1,0.26755891522231,0.232,0.225,0.0102035252346015,0.0102035252346015,7.34478805520182e-05,-0.0714938791695886,0.704756281600875,-0.487209470524653,266.800147579492,0.356815366290333,11.5529565014495,0.474119873799733,0.983754405143642,0.176,0.175,0.0359207865364871,0.0359207865364871,8.86150182204899e-05,0.0565016901118709,0.882274530660236,-1.18840000232303,299.174214964313,0.325982286608538,9.77571165991964,1,0.704810267216324
