"File","Language","Participant","Item_type","Item_num","Focus","TP","Word","Syll","Syll_num","Prosodic_Prom","min_time","max_time","F0_mean","F0_min","F0_max","F0_range","env_mean","env_min","env_max","env_range","duration","Gender","Age"
"C15_T_15_C","Catalan",15,"target",15,"contrastive","La cullera de color negre","NC","lo_pre",5,"2",2675.00000000001,2829.00000000001,170.46665250338,166.674499511719,182.396453857422,15.721954345703,0.176616322823195,0.0718823347955063,0.245657335214907,0.173775000419401,154,"female",19
"C15_T_15_C","Catalan",15,"target",15,"contrastive","La cullera de color negre","A","ne",6,"2",2829.00000000001,2969.99999999997,161.395128522601,153.287811279297,170.739395141602,17.451583862305,0.174468651905359,0.126328169408831,0.238414987123893,0.112086817715062,140.99999999996,"female",19
"C15_T_15_C","Catalan",15,"target",15,"contrastive","La cullera de color negre","A","post",7,NA,2969.99999999997,3178,147.467877197266,138.053802490234,152.842788696289,14.788986206055,0.0729611109390693,0.0489708034355247,0.118024451425976,0.0690536479904513,208.00000000003,"female",19
"C15_T_16_R","Catalan",15,"target",16,"corrective","La de color negre","NC","lo_pre",1,"2",1322,1473.00000000001,165.051109900841,161.219787597656,172.055572509766,10.83578491211,0.244471055435237,0.118370389839409,0.304200655620251,0.185830265780842,151.00000000001,"female",19
"C15_T_16_R","Catalan",15,"target",16,"corrective","La de color negre","A","ne",2,"2",1473.00000000001,1605.00000000002,164.731685931866,158.75422668457,168.651596069336,9.89736938476599,0.197156835255114,0.151662206565662,0.272566590889539,0.120904384323877,132.00000000001,"female",19
"C15_T_16_R","Catalan",15,"target",16,"corrective","La de color negre","A","post",3,"2",1605.00000000002,1812.99999999999,149.212818818934,140.049606323242,157.470489501953,17.420883178711,0.0836264104285033,0.0522208476871118,0.146572289235835,0.0943514415487232,207.99999999997,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","N","pre",1,NA,1877.99999999999,1986.99999999997,183.211100260417,180.66096496582,186.550567626953,5.88960266113301,0.149811193865223,0.12224624974127,0.199228669875293,0.076982420134023,108.99999999998,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","N","lo",2,"2",1986.99999999997,2143.99999999995,182.807607014974,174.613876342773,193.169952392578,18.556076049805,0.268549260428947,0.214965159925827,0.29957242632636,0.084607266400533,156.99999999998,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","N","post",3,NA,2143.99999999995,2346.99999999998,215.400590784409,186.03678894043,248.267837524414,62.231048583984,0.136549671472615,0.0875105605329937,0.219300185362377,0.131789624829383,203.00000000003,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","","<p>",4,NA,2346.99999999998,2517.99999999997,245.972869873047,245.972869873047,245.972869873047,0,0.0463163805490409,0.0180032051917779,0.114035572712891,0.0960323675211131,170.99999999999,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","A","pre",6,NA,2578.99999999995,2661,NA,Inf,-Inf,-Inf,0.0410630689089898,0.0191700090923748,0.066603599167595,0.0474335900752202,82.00000000005,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","A","ron",7,"2",2661,2859.99999999996,163.1171875,152.018005371094,170.958389282227,18.940383911133,0.107414252006805,0.0729673017057956,0.133482104735675,0.0605148030298794,198.99999999996,"female",19
"C15_T_17_I","Catalan",15,"target",17,"information","La pilota taronja","A","post",8,NA,2859.99999999996,2989.99999999995,152.722152709961,146.030746459961,157.817413330078,11.786666870117,0.0941650807468659,0.066201274733703,0.127746658341214,0.061545383607511,129.99999999999,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","N","pre",1,NA,1910.00000000003,2064.00000000002,179.628241984049,176.146789550781,184.34831237793,8.20152282714901,0.270919005160043,0.242826030222345,0.28473394916444,0.041907918942095,153.99999999999,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","N","be",2,"2",2064.00000000002,2185.99999999998,176.328588632437,167.629501342773,182.921020507812,15.291519165039,0.23957814553045,0.219440405662818,0.262242679398363,0.042802273735545,121.99999999996,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","N","post",3,NA,2185.99999999998,2406.99999999998,201.830355192486,173.915008544922,240.629150390625,66.714141845703,0.14568595829796,0.0826656742249784,0.23152139280242,0.148855718577442,221,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","","<p>",4,NA,2406.99999999998,2533.99999999999,242.556326293945,230.44189453125,249.376815795898,18.934921264648,0.0635941698894577,0.0261201302853497,0.131484672262575,0.105364541977225,127.00000000001,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","NC","lo_pre",6,"2",2855.00000000002,3149.99999999998,179.079511971309,162.812469482422,223.394348144531,60.581878662109,0.216034072769052,0.103176461716505,0.268735479691195,0.16555901797469,294.99999999996,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","","<p>",7,NA,3149.99999999998,3555.99999999998,NA,Inf,-Inf,-Inf,0.0224464953250634,0.0112475049133192,0.0884179048616767,0.0771703999483575,406,"female",19
"C15_T_18_C","Catalan",15,"target",18,"contrastive","La bombeta de color groc","A","groc",8,"2",3555.99999999998,3911.99999999998,153.291770533511,138.653594970703,166.803451538086,28.149856567383,0.0862418100458762,0.01809817658769,0.158106770345208,0.140008593757518,356,"female",19
