File,Language,Participant,Item_type,Item_num,Focus,TP,Word,Syll,Syll_num,Prosodic_Prom,min_time,max_time,F0_mean,F0_min,F0_max,F0_range,env_mean,env_min,env_max,env_range,duration,Gender,Age,tier_num,tier_name,tier_type,tier_xmin,tier_xmax,xmin,xmax,text
C05_T_14_F,Catalan,5,target,14,filler,El cotxe de color violeta,N,co,2,1,1889.00000000001,2038.99999999999,NA,NA,NA,NA,0.10321804415279204,0.0518895740521679,0.160901515577387,0.10901194152521908,149.99999999998,male,29,8,Syll,IntervalTier,0,4.73199999999997,1889.00000000001,2038.99999999999,co
C05_T_14_F,Catalan,5,target,14,filler,El cotxe de color violeta,N,post,3,NA,2038.99999999999,2337.99999999997,NA,NA,NA,NA,0.09876731893724672,0.0588336051378314,0.150934819192991,0.0921012140551596,298.99999999998,male,29,8,Syll,IntervalTier,0,4.73199999999997,2038.99999999999,2337.99999999997,post
C05_T_14_F,Catalan,5,target,14,filler,El cotxe de color violeta,NA,<p>,4,NA,2337.99999999997,2656.99999999998,NA,NA,NA,NA,0.02146168596054561,0.0124926185225603,0.0513973648542957,0.0389047463317354,319.00000000001,male,29,8,Syll,IntervalTier,0,4.73199999999997,2337.99999999997,2656.99999999998,<p>
C05_T_14_F,Catalan,5,target,14,filler,El cotxe de color violeta,NA,<p>,7,NA,3724.99999999997,3926.99999999996,NA,NA,NA,NA,0.03611027978097526,0.0169744658642852,0.0796938380948995,0.0627193722306143,201.99999999999,male,29,8,Syll,IntervalTier,0,4.73199999999997,3724.99999999997,3926.99999999996,<p>
C05_T_14_F,Catalan,5,target,14,filler,El cotxe de color violeta,A,post,10,NA,4348.00000000001,4449.99999999999,NA,NA,NA,NA,0.0902147933676589,0.0579830115772377,0.134506108662179,0.07652309708494129,101.99999999997999,male,29,8,Syll,IntervalTier,0,4.73199999999997,4348.00000000001,4449.99999999999,post
C05_T_15_C,Catalan,5,target,15,contrastive,La cullera de color negre,N,post,3,NA,2750,2909.99999999997,NA,NA,NA,NA,0.13007088448741425,0.0697741807640052,0.181762959462427,0.1119887786984218,159.99999999997,male,29,8,Syll,IntervalTier,0,4.065,2750,2909.99999999997,post
C05_T_15_C,Catalan,5,target,15,contrastive,La cullera de color negre,NA,<p>,4,NA,2909.99999999997,3134.00000000001,NA,NA,NA,NA,0.02741591757731699,0.0128739422429484,0.0626631096601021,0.04978916741715371,224.00000000004002,male,29,8,Syll,IntervalTier,0,4.065,2909.99999999997,3134.00000000001,<p>
C05_T_15_C,Catalan,5,target,15,contrastive,La cullera de color negre,A,post,8,NA,3855.99999999999,4024.99999999998,NA,NA,NA,NA,0.10457075364162624,0.0576881669918936,0.176625000174187,0.1189368331822934,168.99999999999,male,29,8,Syll,IntervalTier,0,4.065,3855.99999999999,4024.99999999998,post
C05_T_16_R,Catalan,5,target,16,corrective,La de color negre,A,post,3,NA,2594.00000000005,2713.00000000002,NA,NA,NA,NA,0.07192358998599371,0.0507876477582005,0.102910494505111,0.0521228467469105,118.99999999996999,male,29,8,Syll,IntervalTier,0,2.98500000000001,2594.00000000005,2713.00000000002,post
C05_T_17_I,Catalan,5,target,17,information,La pilota de bàsquet de color tronja,N,pre,1,NA,2494.00000000003,2678,NA,NA,NA,NA,0.08553230871715398,0.0514718004295176,0.147795900907039,0.0963241004775214,183.99999999997,male,29,8,Syll,IntervalTier,0,4.70100000000002,2494.00000000003,2678,pre
C05_T_17_I,Catalan,5,target,17,information,La pilota de bàsquet de color tronja,N,bàs,2,2,2678,2970.00000000003,NA,NA,NA,NA,0.14029886579013356,0.050710965026207,0.201184476637581,0.15047351161137398,292.00000000003,male,29,8,Syll,IntervalTier,0,4.70100000000002,2678,2970.00000000003,bàs
C05_T_17_I,Catalan,5,target,17,information,La pilota de bàsquet de color tronja,NA,<p>,4,NA,3274.99999999998,3456.99999999999,NA,NA,NA,NA,0.01696385516113853,0.0128083391220283,0.0257600232853625,0.0129516841633342,182.00000000001,male,29,8,Syll,IntervalTier,0,4.70100000000002,3274.99999999998,3456.99999999999,<p>
C05_T_17_I,Catalan,5,target,17,information,La pilota de bàsquet de color tronja,NA,<p>,7,NA,4024.99999999998,4240.99999999999,NA,NA,NA,NA,0.03528168295723023,0.014713611771885,0.0875811125622288,0.07286750079034379,216.00000000001,male,29,8,Syll,IntervalTier,0,4.70100000000002,4024.99999999998,4240.99999999999,<p>
C05_T_17_I,Catalan,5,target,17,information,La pilota de bàsquet de color tronja,A,post,9,NA,4519.00000000001,4660.99999999994,NA,NA,NA,NA,0.08208092278158859,0.0511956304539048,0.142621414314788,0.0914257838608832,141.99999999992997,male,29,8,Syll,IntervalTier,0,4.70100000000002,4519.00000000001,4660.99999999994,post
C05_T_18_C,Catalan,5,target,18,contrastive,La llum de color groc,NA,<p>,1,NA,2313.99999999996,2555.00000000006,NA,NA,NA,NA,0.01706662537480372,0.0116020607348554,0.0355077173797927,0.0239056566449373,241.00000000010004,male,29,8,Syll,IntervalTier,0,4.86400000000003,2313.99999999996,2555.00000000006,<p>
C05_T_18_C,Catalan,5,target,18,contrastive,La llum de color groc,NA,<p>,3,NA,3056.00000000004,3834.00000000006,NA,NA,NA,NA,0.01621166897148813,0.0115675397039782,0.0460302196167816,0.0344626799128034,778.00000000002,male,29,8,Syll,IntervalTier,0,4.86400000000003,3056.00000000004,3834.00000000006,<p>
C05_T_18_C,Catalan,5,target,18,contrastive,La llum de color groc,NA,<p>,6,NA,4346.99999999998,4394.99999999998,NA,NA,NA,NA,0.12765692590166175,0.109006087593943,0.14719021672278,0.03818412912883699,48,male,29,8,Syll,IntervalTier,0,4.86400000000003,4346.99999999998,4394.99999999998,<p>
C05_T_18_C,Catalan,5,target,18,contrastive,La llum de color groc,A,groc,7,3,4394.99999999998,4824.00000000007,NA,NA,NA,NA,0.10424882770354872,0.0258259513996814,0.190740452293086,0.1649145008934046,429.00000000009004,male,29,8,Syll,IntervalTier,0,4.86400000000003,4394.99999999998,4824.00000000007,groc
C05_T_20_F,Catalan,5,target,20,filler,La cadira de color negre,N,post,3,NA,2416.99999999992,2597.99999999996,NA,NA,NA,NA,0.1688778394947566,0.106685301027735,0.1996711187029,0.092985817675165,181.00000000004002,male,29,8,Syll,IntervalTier,0,3.87299999999993,2416.99999999992,2597.99999999996,post
C05_T_20_F,Catalan,5,target,20,filler,La cadira de color negre,NA,<p>,4,NA,2597.99999999996,2830.9999999999,NA,NA,NA,NA,0.03686220152612449,0.0129865320837739,0.0956697531096459,0.082683221025872,232.99999999993997,male,29,8,Syll,IntervalTier,0,3.87299999999993,2597.99999999996,2830.9999999999,<p>
C05_T_21_C,Catalan,5,target,21,contrastive,La escombra de color lila,N,pre,1,NA,2489.9999999999,2715.99999999989,NA,NA,NA,NA,0.03990518189945923,0.0210122291129405,0.0535925875210165,0.03258035840807599,225.99999999999,male,29,8,Syll,IntervalTier,0,5.2829999999999,2489.9999999999,2715.99999999989,pre
